iter	Passed	Remaining
0	19	1953
1	21	1072
2	23	763
3	25	617
4	28	534
5	31	488
6	34	455
7	36	417
8	38	392
9	42	378
10	44	359
11	47	344
12	49	330
13	51	315
14	54	306
15	56	294
16	58	286
17	60	276
18	62	267
19	64	259
20	67	252
21	69	246
22	71	239
23	73	232
24	75	227
25	78	222
26	80	217
27	82	212
28	84	207
29	86	202
30	89	198
31	91	195
32	93	190
33	95	185
34	97	180
35	98	175
36	100	171
37	102	168
38	104	163
39	106	160
40	109	157
41	111	153
42	113	150
43	114	146
44	117	143
45	118	139
46	121	136
47	123	133
48	124	129
49	126	126
50	129	124
51	131	121
52	134	119
53	136	116
54	139	113
55	140	110
56	142	107
57	145	105
58	147	102
59	149	99
60	151	96
61	155	95
62	157	92
63	159	89
64	162	87
65	164	84
66	167	82
67	169	79
68	171	77
69	174	74
70	177	72
71	179	69
72	183	67
73	184	64
74	186	62
75	188	59
76	191	57
77	192	54
78	193	51
79	195	48
80	197	46
81	198	43
82	200	41
83	202	38
84	204	36
85	206	33
86	208	31
87	210	28
88	212	26
89	214	23
90	216	21
91	217	18
92	219	16
93	221	14
94	222	11
95	224	9
96	226	7
97	228	4
98	230	2
99	231	0
